id,Arus (Ampere),Tegangan (Volt)
506,142.5,149.7
507,41.3,30.9
508,176.8,165.9
509,35.6,135.9
510,117.7,8.5
511,189.9,52.7
512,8.7,181.7
513,136.4,62.4
514,71.5,74.7
515,195.2,189.5
516,85.6,105.0
517,1.0,8.7
518,43.3,80.6
519,17.4,90.4
520,125.6,146.2
521,181.0,185.8
522,64.7,157.6
523,84.6,45.1
524,154.8,185.0
525,123.4,146.9
526,132.5,111.9
527,154.4,153.2
528,124.9,82.1
529,35.0,127.0
530,86.8,186.7
531,31.6,49.5
532,137.3,46.9
533,57.8,59.8
534,90.5,106.9
535,72.5,81.0
536,158.0,51.7
537,72.2,167.2
538,126.1,159.7
539,190.1,26.0
540,122.3,40.2
541,126.4,193.1
542,139.3,99.8
543,89.8,49.5
544,143.2,22.4
545,26.6,23.8
546,83.8,50.6
547,105.2,34.2
548,195.0,73.5
549,99.3,5.3
550,98.8,183.1
551,88.5,101.0
552,57.7,166.7
553,37.8,117.7
554,156.4,90.1
555,195.2,125.1
556,24.6,20.7
557,19.7,134.7
558,118.7,163.6
559,193.0,116.6
560,72.9,33.1
561,165.4,191.7
562,165.4,87.1
563,78.9,178.3
564,77.7,28.0
565,104.6,182.2
566,131.7,164.7
567,138.6,122.5
568,12.2,189.6
569,97.7,103.7
570,38.8,134.2
571,109.3,171.6
572,132.7,98.2
573,68.4,160.2
574,96.9,50.1
575,67.8,134.9
576,46.8,94.1
577,42.1,128.9
578,83.0,182.5
579,197.7,41.5
580,78.6,192.6
581,117.4,126.6
582,148.0,155.8
583,168.8,106.7
584,83.2,20.1
585,96.6,146.2
586,28.4,187.4
587,21.8,176.3
588,87.4,42.9
589,181.5,118.6
590,112.1,167.8
591,40.6,44.6
592,158.1,104.8
593,108.8,72.8
594,31.7,97.1
595,142.9,195.2
596,118.6,98.4
597,139.5,136.5
598,96.3,5.2
599,20.5,180.9
600,58.8,160.5
601,105.1,39.2
602,199.7,95.9
603,59.9,147.5
604,129.8,60.2
605,70.3,2.3
606,47.9,183.7
607,46.4,47.4
608,8.2,86.8
609,121.8,199.6
610,55.9,45.2
611,52.8,109.6
612,90.6,59.0
613,180.2,37.1
614,50.0,41.9
615,53.6,97.1
616,1.8,109.5
617,163.0,165.9
618,184.6,56.6
619,27.7,173.9
620,55.9,161.0
621,69.8,18.4
622,47.3,171.1
623,21.8,47.7
624,149.5,36.9
625,9.2,85.2
626,121.7,38.3
627,38.2,99.2
628,113.3,171.7
629,95.3,45.0
630,173.6,141.1
631,12.0,146.7
632,88.9,76.6
633,71.4,52.9
634,171.4,7.6
635,47.1,128.1
636,41.2,21.1
637,191.9,141.9
638,164.8,158.3
639,185.3,113.2
640,34.5,51.9
641,84.1,57.1
642,194.9,34.9
643,4.9,103.7
644,55.7,131.3
645,98.6,108.3
646,111.1,74.0
647,16.8,92.7
648,171.4,74.9
649,181.3,91.1
650,5.8,160.6
651,70.2,177.4
652,192.3,113.2
653,193.2,22.8
654,137.4,56.9
655,122.5,54.5
656,13.6,0.1
657,182.0,128.7
658,147.2,52.6
659,112.8,184.5
660,37.2,164.0
661,52.6,168.9
662,25.6,6.2
663,104.8,127.9
664,168.9,27.2
665,41.9,168.0
666,179.6,121.3
667,180.0,129.4
668,160.8,134.6
669,91.0,92.7
670,91.7,168.3
671,5.2,48.1
672,116.8,139.1
673,10.8,137.3
674,175.8,10.8
675,86.4,150.6
676,163.1,129.9
677,190.0,44.2
678,74.3,90.4
679,118.0,108.0
680,106.3,164.0
681,90.8,20.6
682,89.3,104.1
683,45.6,163.2
684,111.3,189.4
685,116.9,106.3
686,36.0,185.9
687,89.5,6.6
688,54.7,141.6
689,73.0,150.1
690,164.7,107.3
691,189.9,198.8
692,115.9,48.2
693,34.9,69.5
694,145.8,154.5
695,126.4,160.6
696,143.9,16.5
697,72.4,57.3
698,155.6,151.9
699,84.6,29.1
700,17.5,22.8
701,182.7,32.5
702,11.5,21.4
703,125.6,47.7
704,3.9,86.4
705,98.8,61.0
706,130.4,144.7
707,178.4,49.2
708,61.6,83.9
709,26.1,109.6
710,178.5,37.5
711,126.1,10.0
712,137.2,139.0
713,193.2,108.4
714,88.3,90.1
715,105.1,7.6
716,117.5,134.7
717,15.0,141.8
718,187.7,100.8
719,172.4,87.1
720,149.1,31.0
721,54.3,51.4
722,6.2,108.2
723,33.2,76.7
724,150.5,96.8
725,10.4,48.4
726,8.1,177.0
727,143.6,114.0
728,171.9,69.1
729,104.8,153.2
730,95.5,183.6
731,64.8,92.0
732,53.1,155.0
733,112.3,111.7
734,149.1,121.1
735,174.9,12.2
736,139.6,128.6
737,171.1,37.8
738,122.6,199.6
739,26.2,42.4
740,111.0,50.4
741,16.5,34.9
742,183.5,37.1
743,143.2,146.9
744,131.2,182.8
745,46.0,197.6
746,187.9,15.7
747,47.9,75.8
748,35.0,176.0
749,190.9,137.0
750,164.5,9.5
751,2.2,115.5
752,63.1,84.5
753,103.8,104.5
754,115.4,54.0
755,133.5,40.8
756,172.1,120.4
757,154.8,51.8
758,93.0,62.2
759,68.2,25.7
760,186.0,184.2
761,17.6,93.7
762,125.8,179.8
763,53.0,163.9
764,121.3,179.4
765,158.4,144.0
766,118.5,176.4
767,177.9,96.3
768,89.4,173.1
769,101.4,81.5
770,106.3,118.9
771,39.8,91.8
772,169.8,159.7
773,48.3,113.9
774,51.7,22.5
775,61.0,100.4
776,41.5,81.0
777,68.8,118.2
778,4.3,196.7
779,99.3,194.7
780,132.7,165.0
781,26.2,40.3
782,101.2,88.3
783,165.8,108.8
784,141.7,8.9
785,141.6,188.9
786,129.6,63.4
787,6.7,8.4
788,47.0,113.2
789,42.5,198.0
790,190.3,186.6
791,154.0,57.9
792,121.5,144.0
793,3.8,124.0
794,91.5,92.6
795,113.1,37.0
796,68.4,24.4
797,103.7,109.8
798,136.7,134.2
799,48.1,105.4
800,112.6,109.5
801,80.6,86.1
802,58.2,11.3
803,47.0,158.5
804,79.4,49.7
805,170.5,120.8
806,116.6,36.9
807,171.7,146.8
808,34.5,60.1
809,92.1,10.2
810,41.1,144.8
811,31.9,188.5
812,72.5,67.3
813,70.7,85.7
814,23.8,42.5
815,82.0,105.7
816,110.7,154.7
817,189.5,79.5
818,103.6,35.0
819,43.1,173.5
820,114.2,14.1
821,30.7,155.9
822,182.0,101.5
823,101.0,131.4
824,140.5,92.2
825,20.5,14.9
826,170.7,193.2
827,9.0,158.6
828,121.6,41.4
829,48.1,169.6
830,145.1,183.5
831,158.5,124.6
832,76.1,8.0
833,157.6,164.3
834,122.0,170.9
835,89.3,79.9
836,198.8,145.9
837,27.0,170.2
838,2.4,9.6
839,86.2,149.0
840,152.1,86.2
841,12.9,26.3
842,174.6,153.5
843,115.8,115.1
844,110.7,61.0
845,66.9,30.8
846,85.7,17.2
847,51.7,187.4
848,175.3,47.4
849,8.3,162.9
850,115.3,109.9
851,144.6,187.0
852,166.7,15.6
853,112.2,183.4
854,21.2,3.9
855,108.7,136.2
856,191.1,74.5
857,54.7,129.7
858,45.8,119.4
859,156.7,82.9
860,184.4,185.5
861,30.7,100.5
862,140.3,149.0
863,181.2,168.5
864,185.2,144.7
865,165.2,115.9
866,34.6,67.8
867,72.0,33.4
868,156.9,177.6
869,16.0,85.1
870,123.5,168.9
871,146.3,99.6
872,36.3,196.6
873,180.4,130.7
874,119.2,115.0
875,18.4,95.8
876,45.6,181.3
877,156.9,32.4
878,22.5,79.3
879,129.9,16.3
880,11.6,87.2
881,59.2,16.9
882,141.0,182.9
883,50.5,101.5
884,124.6,157.3
885,26.4,139.8
886,177.3,173.7
887,24.0,139.5
888,178.2,119.8
889,103.4,141.3
890,25.4,93.5
891,169.2,0.7
892,156.7,62.4
893,36.3,90.2
894,15.4,171.5
895,99.7,184.0
896,16.6,19.2
897,40.1,138.3
898,175.8,100.4
899,145.3,121.0
900,75.8,104.5
901,191.9,113.1
902,6.3,104.6
903,109.8,197.8
904,87.7,70.3
905,120.8,192.5
906,104.9,12.2
907,192.1,133.8
908,72.8,114.7
909,21.8,107.6
910,182.7,98.1
911,75.0,99.2
912,37.1,31.6
913,57.0,164.2
914,195.6,82.2
915,93.0,167.0
916,66.3,6.5
917,58.3,101.4
918,101.1,112.8
919,68.7,3.2
920,138.3,91.3
921,12.0,190.1
922,142.9,187.9
923,64.8,65.7
924,129.0,128.7
925,48.3,152.1
926,114.2,163.1
927,112.8,120.0
928,59.9,42.3
929,198.6,99.9
930,67.6,108.0
931,150.4,182.2
932,177.7,169.4
933,69.8,167.9
934,58.9,164.0
935,177.4,78.9
936,11.8,158.2
937,86.9,120.6
938,171.3,199.7
939,139.0,173.9
940,87.7,193.4
941,30.9,3.0
942,101.7,15.3
943,95.5,99.5
944,71.9,63.7
945,50.4,193.5
946,94.3,32.9
947,56.9,101.1
948,63.0,76.4
949,158.1,105.1
950,148.9,155.1
951,194.7,107.7
952,107.3,83.4
953,60.5,141.1
954,111.1,31.7
955,150.1,75.4
956,129.9,189.7
957,34.4,160.3
958,37.0,150.8
959,40.7,133.6
960,198.0,61.8
961,168.5,18.6
962,90.2,113.1
963,165.3,167.7
964,11.4,5.9
965,69.8,194.7
966,192.9,5.4
967,59.3,149.9
968,76.0,157.5
969,187.2,67.5
970,198.4,169.1
971,191.0,116.8
972,119.1,125.4
973,133.6,2.5
974,154.1,164.4
975,92.6,149.4
976,135.9,62.3
977,158.9,12.4
978,46.2,36.6
979,193.0,197.8
980,9.7,195.3
981,63.8,84.9
982,19.4,184.7
983,34.5,28.5
984,194.3,40.9
985,147.0,121.2
986,103.0,45.9
987,182.6,89.9
988,128.8,79.9
989,82.8,33.8
990,116.6,100.8
991,134.9,71.7
992,100.5,163.3
993,180.0,29.6
994,10.8,186.2
995,157.2,189.0
996,108.5,40.3
997,26.3,105.5
998,120.0,11.6
999,42.7,185.2
1000,13.2,45.2
