id,Arus (Ampere),Tegangan (Volt)
190,138.3,40.3
191,101.9,170.7
192,147.2,107.0
193,124.4,57.5
194,1.8,19.9
195,101.0,163.3
196,9.2,122.0
197,139.8,57.5
198,187.4,40.9
199,28.0,172.3
200,54.8,24.0
201,63.9,139.6
202,125.0,195.8
203,32.9,89.2
204,71.1,17.8
205,198.7,156.1
206,156.6,135.2
207,174.1,28.9
208,73.1,8.9
209,19.6,155.4
210,33.9,143.9
211,22.7,80.2
212,165.3,174.9
213,158.7,179.0
214,138.0,199.9
215,59.7,142.4
216,114.6,144.0
217,128.7,141.2
218,146.7,175.0
219,162.9,50.8
220,108.2,38.3
221,78.8,71.9
222,167.2,79.3
223,75.2,105.7
224,47.4,7.6
225,183.3,188.5
226,65.2,102.3
227,83.7,82.8
228,67.2,176.5
229,175.0,75.2
230,121.6,134.1
231,131.5,98.9
232,49.6,196.7
233,104.1,30.1
234,125.4,166.3
235,35.5,32.2
236,182.7,85.4
237,21.8,140.0
238,74.8,79.8
239,29.2,45.3
240,143.1,124.4
241,132.3,60.5
242,28.3,76.1
243,93.6,66.9
244,85.6,126.2
245,65.1,151.0
246,136.2,197.2
247,99.4,18.3
248,57.7,142.9
249,138.8,72.3
250,67.2,56.5
251,37.7,177.1
252,90.2,142.4
253,56.2,184.3
254,78.2,134.1
255,185.3,190.2
256,76.3,81.7
257,159.5,89.0
258,124.1,165.5
259,156.7,39.3
260,129.3,114.2
261,113.2,169.3
262,142.3,94.9
263,55.5,109.0
264,175.6,174.7
265,8.8,38.3
266,12.9,166.7
267,11.5,178.1
268,96.3,192.9
269,142.9,45.6
270,47.0,113.3
271,157.8,145.7
272,0.4,166.3
273,33.1,193.3
274,5.9,81.1
275,38.4,141.4
276,155.2,74.7
277,54.2,152.5
278,199.9,96.9
279,69.6,195.0
280,120.7,170.9
281,150.6,99.4
282,161.7,175.9
283,181.8,110.8
284,181.7,149.4
285,92.3,193.6
286,138.8,115.7
287,75.2,197.4
288,124.1,62.1
289,132.9,132.8
290,116.1,16.7
291,24.5,104.6
292,190.6,83.9
293,157.7,24.1
294,181.6,46.3
295,171.7,49.3
296,186.6,70.2
297,166.2,186.2
298,110.0,31.2
299,28.5,73.1
300,64.0,154.5
301,179.0,146.8
302,140.6,94.4
303,131.0,87.7
304,184.0,79.8
305,68.1,84.9
306,108.6,122.5
307,13.1,163.7
308,185.4,98.2
309,94.2,31.7
310,197.1,91.5
311,64.8,13.2
312,191.4,158.3
313,190.7,75.9
314,119.2,146.5
315,7.3,78.0
316,34.3,78.0
317,141.2,105.0
318,158.8,88.6
319,196.2,87.2
320,66.5,85.2
321,14.4,36.2
322,92.0,180.4
323,27.7,86.9
324,28.3,40.1
325,116.9,123.2
326,43.0,32.2
327,25.0,69.0
328,178.9,54.5
329,8.3,170.2
330,132.0,119.5
331,28.1,84.5
332,67.9,153.0
333,91.2,18.2
334,46.1,159.9
335,185.0,88.9
336,68.1,184.7
337,110.6,76.6
338,180.3,82.3
339,43.2,185.5
340,155.9,42.1
341,160.4,110.5
342,22.2,135.6
343,186.3,162.2
344,126.6,82.7
345,179.1,46.1
346,27.3,101.3
347,175.2,151.9
348,7.4,31.6
349,186.1,98.4
350,96.2,13.5
351,14.1,47.6
352,152.1,189.6
353,43.7,46.6
354,72.0,19.3
355,54.7,11.2
356,135.8,12.4
357,37.1,16.0
358,157.7,112.0
359,40.8,160.3
360,124.9,93.8
361,178.7,81.8
362,187.5,198.5
363,53.9,20.1
364,20.3,49.0
365,131.8,75.2
366,17.4,104.0
367,8.2,190.1
368,171.8,173.9
369,112.0,192.4
370,95.9,68.5
371,55.6,176.0
372,61.2,182.0
373,102.6,196.7
374,109.6,55.4
375,104.2,55.6
376,4.7,108.1
377,171.2,192.6
378,50.8,156.5
379,39.6,83.2
380,176.7,60.3
381,167.3,134.4
382,26.9,121.0
383,55.4,174.0
384,15.7,55.6
385,102.2,0.6
386,97.1,51.8
387,2.5,23.6
388,103.0,105.5
389,141.2,134.8
390,23.3,130.2
391,143.7,198.1
392,193.9,192.9
393,23.2,52.4
394,161.6,5.8
395,198.0,78.0
396,148.7,1.4
397,64.7,120.7
398,107.1,0.6
399,14.7,197.7
400,9.4,114.3
401,11.1,83.1
402,6.7,0.7
403,40.2,121.6
404,27.1,198.2
405,53.2,42.6
406,139.7,141.6
407,123.8,66.5
408,109.5,173.5
409,66.6,89.7
410,93.9,176.9
411,148.3,127.9
412,184.0,149.9
413,166.8,148.5
414,196.5,48.8
415,127.0,57.7
416,151.6,52.7
417,176.8,153.9
418,113.6,169.4
419,8.7,24.3
420,176.2,100.9
421,51.8,18.0
422,83.5,2.2
423,167.1,114.9
424,1.4,13.1
425,78.3,164.4
426,41.3,85.6
427,142.5,30.2
428,115.5,65.9
429,85.5,159.0
430,162.3,2.7
431,194.0,1.6
432,83.4,189.6
433,138.8,154.8
434,56.7,58.7
435,26.4,43.9
436,91.4,0.3
437,101.4,80.1
438,127.2,12.8
439,149.2,174.9
440,6.7,11.9
441,96.3,30.2
442,134.9,110.0
443,191.8,90.8
444,140.2,120.2
445,140.6,156.6
446,33.9,51.0
447,94.1,36.1
448,128.4,42.2
449,118.3,51.9
450,50.1,49.6
451,126.0,102.7
452,75.3,198.9
453,98.7,192.2
454,137.6,174.0
455,68.4,52.0
456,153.2,107.9
457,77.5,124.0
458,132.3,137.0
459,160.8,116.7
460,66.9,37.2
461,157.2,166.7
462,133.8,197.8
463,137.4,94.2
464,63.7,98.8
465,199.6,188.0
466,178.2,46.6
467,145.3,24.7
468,85.5,116.9
469,18.1,181.3
470,80.2,3.9
471,117.0,86.3
472,32.1,39.0
473,13.4,16.4
474,18.7,105.9
475,130.0,115.4
476,168.1,82.0
477,3.5,195.5
478,200.0,77.7
479,180.3,198.6
480,171.8,67.6
481,191.8,140.8
482,169.4,180.9
483,195.8,62.5
484,151.4,147.6
485,172.0,14.6
486,52.7,59.9
487,70.8,183.9
488,27.8,183.4
489,114.0,98.6
490,89.5,85.7
491,181.9,135.2
492,147.1,132.1
493,8.2,128.0
494,8.9,176.3
495,71.8,158.0
496,145.2,169.4
497,116.4,110.9
498,20.2,141.2
499,11.1,142.6
500,47.3,168.9
501,24.2,158.4
502,47.7,2.0
503,192.7,87.1
504,190.8,95.6
505,91.5,115.3
506,92.5,162.5
507,104.0,12.4
508,148.6,172.8
509,78.6,187.1
510,129.0,154.1
511,199.0,72.6
512,189.0,159.7
513,83.2,30.4
514,149.2,68.2
515,39.2,10.5
516,61.5,88.6
517,4.0,53.7
518,191.9,89.9
519,57.9,33.7
520,169.8,20.4
521,197.5,167.3
522,197.6,87.2
523,162.8,66.3
524,8.9,47.3
525,97.8,8.3
526,52.1,112.3
527,109.6,65.6
528,26.8,54.6
529,122.4,95.4
530,111.9,81.7
531,71.6,76.5
532,125.7,10.0
533,9.8,190.7
534,164.8,161.3
535,12.8,84.6
536,196.2,170.3
537,19.6,168.7
538,139.8,44.5
539,71.6,22.2
540,173.1,17.1
541,175.1,177.2
542,190.4,99.8
543,188.7,2.0
544,182.4,162.1
545,107.2,42.7
546,130.0,77.3
547,149.6,113.5
548,115.2,186.8
549,45.2,73.3
550,28.0,11.9
551,194.6,0.0
552,174.5,50.5
553,20.6,136.2
554,65.2,13.2
555,157.2,63.3
556,35.6,173.7
557,60.5,64.0
558,15.3,6.2
559,21.8,155.8
560,189.9,119.1
561,133.1,161.3
562,30.6,59.9
563,140.1,5.6
564,58.5,98.9
565,34.0,101.6
566,67.6,83.1
567,122.6,12.0
568,154.7,92.0
569,0.4,77.9
570,63.5,119.5
571,51.5,156.0
572,30.2,183.6
573,121.7,197.1
574,67.4,11.4
575,59.3,91.3
576,18.5,168.3
577,36.5,61.4
578,29.7,61.0
579,39.5,111.7
580,19.1,137.3
581,185.9,55.7
582,169.9,195.9
583,16.8,3.2
584,44.8,141.9
585,180.6,182.9
586,16.8,10.7
587,136.4,74.4
588,112.5,177.4
589,54.3,136.5
590,39.8,167.7
591,119.1,199.7
592,48.3,99.4
593,93.7,158.6
594,39.9,11.6
595,134.8,157.2
596,79.9,52.0
597,100.7,89.0
598,16.1,123.6
599,183.4,145.4
600,31.7,199.1
601,120.6,68.5
602,48.5,166.4
603,66.4,10.1
604,175.4,51.2
605,86.0,46.8
606,169.3,137.9
607,199.1,137.9
608,19.4,135.7
609,45.8,70.7
610,119.6,133.2
611,84.8,124.4
612,119.0,19.3
613,5.3,65.4
614,3.2,27.7
615,55.6,122.5
616,125.7,51.7
617,185.8,176.9
618,147.3,5.6
619,177.9,81.3
620,70.5,142.6
621,188.7,108.2
622,60.8,173.7
623,33.6,49.0
624,149.2,176.8
625,87.1,162.9
626,163.1,99.8
627,123.2,40.0
628,196.7,191.8
629,86.7,89.1
630,38.4,124.2
631,75.2,171.1
632,118.1,87.9
633,129.6,35.6
634,42.5,199.7
635,114.7,180.3
636,115.6,100.8
637,148.9,140.7
638,38.9,3.7
639,64.9,195.5
640,148.4,6.2
641,8.7,146.2
642,185.5,173.2
643,92.9,45.0
644,17.1,92.7
645,41.4,175.1
646,71.5,13.5
647,72.5,0.6
648,48.2,194.4
649,70.0,166.3
650,75.8,100.6
651,190.5,146.8
652,39.1,117.5
653,1.9,8.4
654,95.1,161.2
655,185.1,55.9
656,33.6,172.6
657,90.9,103.0
658,117.4,85.1
659,138.7,164.2
660,128.0,124.7
661,91.1,142.6
662,109.7,115.0
663,5.1,147.7
664,38.3,166.2
665,96.6,88.4
666,23.4,40.9
667,134.7,40.1
668,115.1,12.9
669,187.7,139.7
670,147.7,83.6
671,188.1,178.8
672,53.9,71.8
673,30.4,19.4
674,30.9,133.0
675,67.2,197.9
676,128.3,53.4
677,129.0,111.0
678,138.6,116.3
679,19.3,16.7
680,197.2,24.3
681,163.7,1.5
682,164.6,151.5
683,172.7,166.6
684,125.5,95.2
685,5.1,159.6
686,55.9,35.8
687,198.4,6.5
688,22.1,189.7
689,124.6,109.9
690,193.5,147.2
691,45.3,128.5
692,157.2,115.6
693,44.7,81.4
694,190.6,139.5
695,54.9,105.2
696,6.1,186.5
697,154.8,96.9
698,109.3,24.6
699,60.3,195.2
700,176.9,159.3
701,72.6,163.7
702,142.0,22.7
703,88.1,7.8
704,51.4,98.4
705,25.3,153.7
706,31.0,133.5
707,160.5,133.3
708,183.0,155.8
709,9.9,170.7
710,140.8,82.0
711,40.2,181.4
712,48.6,178.5
713,182.3,29.3
714,128.9,148.5
715,79.2,197.9
716,85.1,5.7
717,3.7,163.0
718,49.7,89.1
719,8.9,38.6
720,108.3,51.2
721,27.1,41.8
722,113.9,99.5
723,154.4,52.8
724,7.2,2.7
725,132.9,6.5
726,35.1,142.3
727,126.5,29.3
728,177.2,137.1
729,92.3,78.1
730,148.6,146.9
731,100.1,96.8
732,171.0,38.8
733,174.1,157.9
734,99.8,8.7
735,143.1,198.4
736,83.3,86.9
737,169.2,161.6
738,19.1,153.8
739,135.6,61.4
740,128.6,128.2
741,131.3,86.8
742,8.7,175.2
743,58.6,14.5
744,72.1,16.2
745,73.6,6.6
746,132.2,154.6
747,23.6,3.8
748,42.4,61.8
749,19.6,170.7
750,197.6,110.0
751,137.9,59.1
752,112.3,37.9
753,82.0,42.0
754,188.8,155.0
755,178.5,106.0
756,43.8,126.6
757,187.3,107.1
758,54.7,8.4
759,107.9,61.1
760,191.8,85.8
761,90.4,61.7
762,91.4,18.9
763,178.0,91.0
764,194.0,129.2
765,100.1,14.5
766,163.7,19.7
767,171.0,176.5
768,74.2,14.2
769,199.7,87.4
770,92.0,115.9
771,61.0,180.6
772,199.1,93.5
773,130.0,144.9
774,69.7,52.2
775,186.4,198.3
776,172.1,64.6
777,134.4,102.5
778,117.5,178.8
779,165.1,107.2
780,130.3,29.2
781,91.3,63.5
782,102.4,148.6
783,84.1,106.8
784,2.2,176.0
785,41.8,6.7
786,168.8,80.4
787,145.2,143.3
788,35.6,4.9
789,52.3,109.9
790,118.1,178.8
791,176.4,192.7
792,146.7,131.5
793,34.5,57.7
794,38.4,83.6
795,110.0,88.7
796,44.6,152.3
797,114.4,142.5
798,116.1,149.9
799,130.8,154.9
800,194.5,59.0
801,158.4,95.8
802,49.9,99.4
803,18.4,96.9
804,182.6,7.4
805,55.7,55.4
806,107.2,27.2
807,66.9,161.2
808,21.3,159.5
809,53.8,162.8
810,161.8,81.1
811,83.4,10.2
812,53.4,59.2
813,62.2,100.6
814,179.3,101.7
815,111.0,19.3
816,73.4,14.9
817,62.6,163.4
818,93.7,131.3
819,147.2,111.7
820,50.7,60.4
821,41.2,115.5
822,9.2,164.7
823,58.5,59.9
824,13.5,8.1
825,56.1,1.2
826,81.5,79.6
827,117.7,72.9
828,185.6,38.3
829,121.8,104.8
830,60.4,188.9
831,152.1,38.5
832,66.3,24.7
833,146.7,48.4
834,121.9,3.5
835,22.9,143.7
836,73.6,182.9
837,149.4,91.3
838,130.2,146.5
839,120.9,188.8
840,104.5,180.6
841,160.2,129.8
842,168.7,112.6
843,118.9,85.6
844,115.5,63.3
845,150.1,105.8
846,135.0,37.7
847,66.6,122.9
848,74.3,41.7
849,72.1,48.8
850,199.4,177.1
851,63.4,60.6
852,5.7,128.5
853,145.2,148.1
854,146.1,82.1
855,199.2,52.5
856,55.7,73.7
857,193.9,127.6
858,80.4,58.2
859,184.1,5.9
860,188.2,199.5
861,140.8,67.2
862,58.4,180.4
863,153.3,20.0
864,122.5,4.6
865,141.6,155.1
866,105.7,103.8
867,151.2,116.4
868,194.1,171.9
869,141.6,29.6
870,150.1,59.6
871,138.6,152.1
872,195.9,28.1
873,146.6,58.9
874,52.0,29.2
875,67.4,165.6
876,164.7,37.0
877,98.8,59.5
878,184.8,158.6
879,122.1,141.5
880,75.8,94.5
881,172.9,123.4
882,112.0,178.2
883,105.5,175.0
884,76.0,133.8
885,149.1,19.2
886,159.1,169.8
887,27.7,61.4
888,103.7,60.6
889,150.9,80.9
890,51.9,103.4
891,174.8,95.8
892,106.0,86.2
893,41.0,131.0
894,75.6,179.6
895,57.5,2.7
896,74.5,26.8
897,40.4,99.7
898,4.7,24.3
899,99.6,56.5
900,60.8,43.7
901,127.5,199.8
902,36.6,45.5
903,197.2,79.7
904,46.3,71.9
905,88.8,168.0
906,64.4,91.8
907,94.2,170.9
908,31.8,152.6
909,48.7,64.3
910,188.4,28.9
911,174.2,147.2
912,39.4,172.4
913,79.3,42.9
914,77.9,64.5
915,5.8,38.9
916,99.8,108.9
917,146.2,62.6
918,44.8,171.1
919,108.4,63.0
920,153.1,93.8
921,91.9,44.5
922,127.6,52.1
923,145.8,134.7
924,150.6,152.6
925,31.2,127.8
926,58.7,164.6
927,147.1,73.9
928,136.8,195.9
929,153.0,75.1
930,32.9,19.9
931,22.1,156.6
932,194.3,42.5
933,112.2,56.4
934,133.9,47.8
935,75.2,138.9
936,116.7,7.0
937,34.2,197.3
938,98.9,163.6
939,119.1,69.2
940,135.0,10.5
941,22.3,167.1
942,145.3,156.2
943,138.4,181.2
944,4.5,5.5
945,66.7,4.0
946,8.7,150.1
947,56.7,120.4
948,22.0,78.5
949,168.5,167.3
950,103.7,100.3
951,11.5,189.5
952,165.7,36.2
953,62.5,137.5
954,154.4,87.9
955,100.6,19.2
956,9.8,164.4
957,196.1,10.3
958,75.9,5.7
959,186.0,168.7
960,2.1,169.4
961,163.5,26.9
962,196.2,139.1
963,186.7,17.6
964,45.8,147.0
965,64.1,199.7
966,106.3,10.0
967,95.1,176.6
968,108.1,180.9
969,163.0,77.1
970,125.3,56.7
971,161.3,63.3
972,9.8,76.2
973,125.0,55.1
974,8.8,30.3
975,149.8,94.7
976,67.7,138.1
977,113.9,36.4
978,106.3,193.7
979,167.4,105.0
980,173.8,42.0
981,0.9,135.7
982,21.0,159.6
983,13.5,157.8
984,18.0,49.9
985,184.6,62.9
986,84.6,104.5
987,47.7,10.9
988,102.3,30.0
989,49.7,165.0
990,163.8,78.6
991,190.0,38.8
992,7.4,18.5
993,88.2,103.6
994,159.5,157.3
995,5.2,25.6
996,59.9,166.4
997,128.3,75.7
998,51.5,155.4
999,31.5,13.8
1000,92.1,59.4
